Ref_Date,GEO,FOOD,COM,Vector,Coordinate,Value
1960,Canada,Food available,Total fruits,v1312662,1.1.1,88.26
1961,Canada,Food available,Total fruits,v1312662,1.1.1,82.35
1962,Canada,Food available,Total fruits,v1312662,1.1.1,85.31
1963,Canada,Food available,Total fruits,v1312662,1.1.1,84.09
1964,Canada,Food available,Total fruits,v1312662,1.1.1,82.57
1965,Canada,Food available,Total fruits,v1312662,1.1.1,82.82
1966,Canada,Food available,Total fruits,v1312662,1.1.1,80.43
1967,Canada,Food available,Total fruits,v1312662,1.1.1,86.04
1968,Canada,Food available,Total fruits,v1312662,1.1.1,82.11
1969,Canada,Food available,Total fruits,v1312662,1.1.1,88.82
1970,Canada,Food available,Total fruits,v1312662,1.1.1,83.86
1971,Canada,Food available,Total fruits,v1312662,1.1.1,85.83
1972,Canada,Food available,Total fruits,v1312662,1.1.1,83.08
1973,Canada,Food available,Total fruits,v1312662,1.1.1,89.77
1974,Canada,Food available,Total fruits,v1312662,1.1.1,90.15
1975,Canada,Food available,Total fruits,v1312662,1.1.1,97.52
1976,Canada,Food available,Total fruits,v1312662,1.1.1,103.66
1977,Canada,Food available,Total fruits,v1312662,1.1.1,103.39
1978,Canada,Food available,Total fruits,v1312662,1.1.1,106.21
1979,Canada,Food available,Total fruits,v1312662,1.1.1,108.87
1980,Canada,Food available,Total fruits,v1312662,1.1.1,109.60
1981,Canada,Food available,Total fruits,v1312662,1.1.1,115.66
1982,Canada,Food available,Total fruits,v1312662,1.1.1,110.94
1983,Canada,Food available,Total fruits,v1312662,1.1.1,110.94
1984,Canada,Food available,Total fruits,v1312662,1.1.1,116.84
1985,Canada,Food available,Total fruits,v1312662,1.1.1,112.17
1986,Canada,Food available,Total fruits,v1312662,1.1.1,114.95
1987,Canada,Food available,Total fruits,v1312662,1.1.1,119.84
1988,Canada,Food available,Total fruits,v1312662,1.1.1,114.84
1989,Canada,Food available,Total fruits,v1312662,1.1.1,113.61
1990,Canada,Food available,Total fruits,v1312662,1.1.1,110.75
1991,Canada,Food available,Total fruits,v1312662,1.1.1,109.04
1992,Canada,Food available,Total fruits,v1312662,1.1.1,115.92
1993,Canada,Food available,Total fruits,v1312662,1.1.1,117.31
1994,Canada,Food available,Total fruits,v1312662,1.1.1,124.14
1995,Canada,Food available,Total fruits,v1312662,1.1.1,123.91
1996,Canada,Food available,Total fruits,v1312662,1.1.1,124.83
1997,Canada,Food available,Total fruits,v1312662,1.1.1,127.80
1998,Canada,Food available,Total fruits,v1312662,1.1.1,122.10
1999,Canada,Food available,Total fruits,v1312662,1.1.1,122.77
2000,Canada,Food available,Total fruits,v1312662,1.1.1,126.53
2001,Canada,Food available,Total fruits,v1312662,1.1.1,124.07
2002,Canada,Food available,Total fruits,v1312662,1.1.1,129.83
2003,Canada,Food available,Total fruits,v1312662,1.1.1,131.38
2004,Canada,Food available,Total fruits,v1312662,1.1.1,133.53
2005,Canada,Food available,Total fruits,v1312662,1.1.1,134.20
2006,Canada,Food available,Total fruits,v1312662,1.1.1,137.13
2007,Canada,Food available,Total fruits,v1312662,1.1.1,138.07
2008,Canada,Food available,Total fruits,v1312662,1.1.1,134.32
2009,Canada,Food available,Total fruits,v1312662,1.1.1,130.96
2010,Canada,Food available,Total fruits,v1312662,1.1.1,130.17
1960,Canada,Food available,Fresh fruits,v1312663,1.1.2,52.05
1961,Canada,Food available,Fresh fruits,v1312663,1.1.2,49.18
1962,Canada,Food available,Fresh fruits,v1312663,1.1.2,50.74
1963,Canada,Food available,Fresh fruits,v1312663,1.1.2,49.54
1964,Canada,Food available,Fresh fruits,v1312663,1.1.2,50.60
1965,Canada,Food available,Fresh fruits,v1312663,1.1.2,50.80
1966,Canada,Food available,Fresh fruits,v1312663,1.1.2,48.77
1967,Canada,Food available,Fresh fruits,v1312663,1.1.2,51.08
1968,Canada,Food available,Fresh fruits,v1312663,1.1.2,50.29
1969,Canada,Food available,Fresh fruits,v1312663,1.1.2,54.77
1970,Canada,Food available,Fresh fruits,v1312663,1.1.2,52.27
1971,Canada,Food available,Fresh fruits,v1312663,1.1.2,52.58
1972,Canada,Food available,Fresh fruits,v1312663,1.1.2,49.46
1973,Canada,Food available,Fresh fruits,v1312663,1.1.2,52.39
1974,Canada,Food available,Fresh fruits,v1312663,1.1.2,55.91
1975,Canada,Food available,Fresh fruits,v1312663,1.1.2,56.24
1976,Canada,Food available,Fresh fruits,v1312663,1.1.2,61.12
1977,Canada,Food available,Fresh fruits,v1312663,1.1.2,58.32
1978,Canada,Food available,Fresh fruits,v1312663,1.1.2,56.56
1979,Canada,Food available,Fresh fruits,v1312663,1.1.2,56.74
1980,Canada,Food available,Fresh fruits,v1312663,1.1.2,56.59
1981,Canada,Food available,Fresh fruits,v1312663,1.1.2,59.47
1982,Canada,Food available,Fresh fruits,v1312663,1.1.2,59.12
1983,Canada,Food available,Fresh fruits,v1312663,1.1.2,58.45
1984,Canada,Food available,Fresh fruits,v1312663,1.1.2,60.26
1985,Canada,Food available,Fresh fruits,v1312663,1.1.2,59.14
1986,Canada,Food available,Fresh fruits,v1312663,1.1.2,59.39
1987,Canada,Food available,Fresh fruits,v1312663,1.1.2,60.58
1988,Canada,Food available,Fresh fruits,v1312663,1.1.2,58.54
1989,Canada,Food available,Fresh fruits,v1312663,1.1.2,58.53
1990,Canada,Food available,Fresh fruits,v1312663,1.1.2,61.36
1991,Canada,Food available,Fresh fruits,v1312663,1.1.2,58.05
1992,Canada,Food available,Fresh fruits,v1312663,1.1.2,62.18
1993,Canada,Food available,Fresh fruits,v1312663,1.1.2,62.55
1994,Canada,Food available,Fresh fruits,v1312663,1.1.2,65.60
1995,Canada,Food available,Fresh fruits,v1312663,1.1.2,64.27
1996,Canada,Food available,Fresh fruits,v1312663,1.1.2,63.05
1997,Canada,Food available,Fresh fruits,v1312663,1.1.2,63.30
1998,Canada,Food available,Fresh fruits,v1312663,1.1.2,63.60
1999,Canada,Food available,Fresh fruits,v1312663,1.1.2,62.41
2000,Canada,Food available,Fresh fruits,v1312663,1.1.2,63.64
2001,Canada,Food available,Fresh fruits,v1312663,1.1.2,63.30
2002,Canada,Food available,Fresh fruits,v1312663,1.1.2,65.55
2003,Canada,Food available,Fresh fruits,v1312663,1.1.2,67.44
2004,Canada,Food available,Fresh fruits,v1312663,1.1.2,68.71
2005,Canada,Food available,Fresh fruits,v1312663,1.1.2,70.97
2006,Canada,Food available,Fresh fruits,v1312663,1.1.2,73.02
2007,Canada,Food available,Fresh fruits,v1312663,1.1.2,73.13
2008,Canada,Food available,Fresh fruits,v1312663,1.1.2,73.69
2009,Canada,Food available,Fresh fruits,v1312663,1.1.2,73.58
2010,Canada,Food available,Fresh fruits,v1312663,1.1.2,74.43
1960,Canada,Food available,Total processed fruits,v1312664,1.1.3,8.17
1961,Canada,Food available,Total processed fruits,v1312664,1.1.3,8.07
1962,Canada,Food available,Total processed fruits,v1312664,1.1.3,7.96
1963,Canada,Food available,Total processed fruits,v1312664,1.1.3,8.61
1964,Canada,Food available,Total processed fruits,v1312664,1.1.3,8.28
1965,Canada,Food available,Total processed fruits,v1312664,1.1.3,9.16
1966,Canada,Food available,Total processed fruits,v1312664,1.1.3,8.47
1967,Canada,Food available,Total processed fruits,v1312664,1.1.3,8.80
1968,Canada,Food available,Total processed fruits,v1312664,1.1.3,7.95
