"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CROPYIELD","RICE","TONNE_HA","A","1990",5.37411428158514,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1991",5.89775280324502,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1992",5.90314960263769,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1993",5.22131147228378,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1994",5.45757575391814,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1995",5.92499999537109,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1996",4.25704697822368,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1997",5.54518071996132,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1998",6.27073943220371,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1999",5.92401315399736,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2000",5.50651127720135,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2001",6.19141807777524,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2002",5.52127777394356,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2003",6.38019649261966,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2004",5.55599397159189,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2005",4.41496672721686,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2006",6.55621751808214,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2007",5.43604997281975,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2008",5.55833365851881,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2009",5.64345279895117,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2010",6.94094361816833,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2011",6.34527630744043,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2012",5.94348084692813,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2013",6.85298229849472,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2014",7.28364000003132,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2015",6.61053824324535,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2016",7.2673260867931,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2017",6.79159349284963,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2018",6.85975658413143,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2019",6.92819232046787,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2020",6.99818681781644,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2021",7.06702921247247,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2022",7.13638938671187,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2023",7.20534883589115,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2024",7.27432306560399,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2025",7.3434959358147,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2026",7.41240144302112,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1990",1.6344040528782,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1991",1.46972017260936,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1992",1.78114803623225,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1993",1.9657640462607,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1994",1.14370802178249,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1995",1.79655135015946,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1996",2.0961960497248,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1997",1.8414902786913,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1998",1.8533805370706,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1999",2.03468113081826,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2000",1.77733118969632,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2001",2.09528326289475,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2002",0.917338162055977,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2003",2.10724941535274,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2004",1.63482349427842,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2005",2.02306517719181,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2006",0.917274114248879,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2007",1.07878836062109,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2008",1.58314855874661,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2009",1.57294143072132,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2010",2.03006961930062,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2011",2.15112933389332,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2012",1.76092148854487,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2013",2.00610481247914,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2014",1.91723191212922,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2015",1.89111232703908,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2016",2.71946121688559,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2017",2.19347756713322,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2018",2.20575396084814,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2019",2.21485145293827,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2020",2.2264517291458,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2021",2.23850369608119,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2022",2.24951873515389,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2023",2.26042806739881,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2024",2.27180234953157,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2025",2.2829510389331,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2026",2.29471154113916,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1990",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1991",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1992",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1993",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1994",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1995",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1996",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1997",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1998",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1999",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2000",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2001",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2002",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2003",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2004",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2005",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2006",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2007",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2008",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2009",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2010",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2011",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2012",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2013",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2014",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2015",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2016",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2017",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2018",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2019",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2020",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2021",0,
